,title,director
0,3%,
24,​SAINT SEIYA: Knights of the Zodiac,
26,(Un)Well,
27,#Alive,Cho Il
29,#blackAF,
30,#cats_the_mewvie,Michael Margolis
32,#FriendButMarried 2,Rako Prijanto
43,Òlòtūré,Kenneth Gyang
53,100 Humans,
57,100% Halal,Jastis Arimba
63,13 Reasons Why,
73,18 Presents,Francesco Amato
106,365 Days,"Barbara Białowąs, Tomasz Mandes"
107,37 Seconds,Hikari
141,7SEEDS,
147,A Babysitter's Guide to Monster Hunting,Rachel Talalay
154,A California Christmas,Shaun Paul Piccinino
157,A Choo,"Kevin Ko, Peter Tsi"
168,A Fall from Grace,Tyler Perry
177,A Go! Go! Cory Carson Christmas,"Stanley Moore, Alex Woo"
178,A Go! Go! Cory Carson Halloween,"Alex Woo, Stanley Moore"
179,A Go! Go! Cory Carson Summer Camp,"Stanley Moore, Alex Woo"
194,A Life of Speed: The Juan Manuel Fangio Story,Francisco Macri
199,A Love So Beautiful,
200,A Love Song for Latasha,Sophia Nahli Allison
209,A New York Christmas Wedding,Otoja Abit
213,A Perfect Crime,
218,A Queen Is Born,Carla Barros
223,A Secret Love,Chris Bolan
227,A Shaun the Sheep Movie: Farmageddon,"Richard Phelan, Will Becher"
242,A Trash Truck Christmas,Eddie Rosas
244,A truthful Mother,Ravishankar Venkateswaran
253,A Whisker Away,"Junichi Sato, Tomotaka Shibayama"
289,Absurd Planet,
304,Adú,Salvador Calvo
320,Afonso Padilha: Classless,"Junior Carelli, Rudge Campos"
324,After Life,
329,After We Collided,Roger Kumble
341,Aggretsuko,
351,Ainu Mosir,Takeshi Fukunaga
352,Airplane Mode,César Rodrigues
357,AJ and the Queen,
362,AK vs AK,Vikramaditya Motwane
368,Ala Vaikunthapurramuloo,Trivikram Srinivas
378,Alex Fernández: The Best Comedian in the World,Alex Díaz
380,Alexa & Katie,
393,Alice in Borderland,
396,Alien TV,
398,Alien Worlds,
399,Alien Xmas,Stephen Chiodo
406,All Because of You,Adrian Teh
407,All Day and a Night,Joe Robert Cole
409,All For Love,
418,All The Bright Places,Brett Haley
420,All the Freckles in the World,Yibrán Asuad
422,All Together Now,Brett Haley
426,Almost Happy,Hernán Guerschuny
427,Almost Love,Mike Doyle
437,Altered Carbon,
438,Altered Carbon: Resleeved,"Takeru Nakajima, Yoshiyuki Okada"
470,American Murder: The Family Next Door,Jenny Popplewell
472,American Pie 9: Girls' Rules,Mike Elliott
497,An Unremarkable Christmas,Juan Camilo Pinzon
509,Andhaghaaram,V Vignarajan
510,Andhakaaram,V Vignarajan
511,André & his olive tree,Josiah Ng
512,Anelka: Misunderstood,Franck Nataf
520,Angela's Christmas Wish,Damien O’Connor
525,Angu Vaikuntapurathu (Malayalam),Trivikram Srinivas
528,Animal Crackers,"Tony Bancroft, Scott Christian Sava"
531,Anitta: Made In Honório,"Andrucha Waddington, Pedro Waddington"
570,Archibald's Next Big Thing,
575,Ares,
577,Ari Eldjárn: Pardon My Icelandic,August Jakobsson
579,"Ariana grande: excuse me, i love you",Paul Dugdale
601,Asphalt Burning,Hallvard Bræin
605,Asura Guru,A. Raajdheep
611,Athlete A,"Bonni Cohen, Jon Shenk"
621,Aunty Donna's Big Ol' House of Fun,
631,Ava,Tate Taylor
640,Away,
643,Axone,Nicholas Kharkongor
667,Babies,
668,Baby,
672,Babylon Berlin,
686,Bad Boy Billionaires: India,
703,BAKI,
704,Bakugan: Armored Alliance,
714,Banana Split,Ben Kasulke
731,Barbarians,
736,Barbie Dreamhouse Adventures: Go Team Roberts,
741,Barbie Princess Adventure,Conrad Helten
799,Becoming,Nadia Hallgren
830,Ben Platt Live from Radio City Music Hall,"Alex Timbers, Sam Wrench"
841,"Berlin, Berlin: Lolle on the Run",Franziska Meyer Price
846,Bert Kreischer: Hey Big Boy,Jeff Tomsic
849,Best Leftovers Ever!,
852,Best of Stand-Up 2020,
853,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",Amy Segal
856,Betaal,
877,Beyond the Boundary: ICC Women's T20 World Cup Australia 2020,Anna Stone
880,Bhaag Beanie Bhaag,
890,Bheeshma,Venky Kudumula
906,Big Mouth,
910,Bigflo & Oli: Hip Hop Frenzy,"Bigflo & Oli, Jérémie Levypon"
931,Biohackers,
968,BLACKPINK: Light Up the Sky,Caroline Suh
985,Blood & Water,
988,Blood of Zeus,
992,Bloodride,
1006,BNA,
1015,Bobbleheads The Movie,Kirk Wise
1025,BoJack Horseman,
1044,Bookmarks,
1078,Brave Blue World: Racing to Solve Our Water Crisis,Tim Neeves
1083,Bread Barbershop,
1085,BREAK IT ALL: The History of Rock in Latin America,Picky Talarico
1095,Brews Brothers,
1100,Bridgerton,
1125,Buddi,
1132,Bulbbul,Anvita Dutt
1135,Bulletproof 2,Don Michael Paul
1139,Bunk'd,
1164,Cadaver,Jarand Herdal
1165,Cagaster of an Insect Cage,
1174,Calico Critters Mini Episodes Clover,
1178,Caliphate,
1181,Call the Midwife,Philippa Lowthorpe
1192,Can You Hear Me?,
